日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260331,5962,浅香工業,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20260331,5965,フジマック,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5966,京都機械工具,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5967,ＴＯＮＥ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5969,ロブテックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5970,ジーテクト,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20260331,5971,共和工業所,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5973,トーアミ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5974,中国工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5975,東プレ,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20260331,5976,高周波熱錬,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260331,5981,東京製綱,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260331,5982,マルゼン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5983,イワブチ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5984,兼房,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5985,サンコール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260331,5986,モリテック　スチール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5987,オーネックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5988,パイオラックス,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20260331,5989,エイチワン,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260331,5990,スーパーツール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5991,日本発條,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20260331,5992,中央発條,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260331,5994,ファインシンター,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5997,協立エアテック,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5998,アドバネクス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,6005,三浦工業,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260331,6013,タクマ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6016,ジャパンエンジンコーポレーション,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
20260331,6018,阪神内燃機工業,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
20260331,6022,赤阪鐵工所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6023,ダイハツインフィニアース,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
20260331,6027,弁護士ドットコム,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260331,6029,アトラグループ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6030,アドベンチャー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6031,ＺＥＴＡ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6033,エクストリーム,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6034,ＭＲＴ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6035,アイ・アールジャパンホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260331,6036,ＫｅｅＰｅｒ技研,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20260331,6037,楽待,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6038,イード,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6039,日本動物高度医療センター,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6040,日本スキー場開発,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6042,ニッキ,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
20260331,6044,三機サービス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6045,レントラックス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6046,リンクバル,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6047,Ｇｕｎｏｓｙ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260331,6049,イトクロ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6050,イー・ガーディアン,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
